All the restaurants that I liked

Title,Note,URL,Tags,Comment
,,,,
All'Antico Vinaio,"super cute chill drink vibes, good food",https://www.google.com/maps/place/All'Antico+Vinaio/data=!4m2!3m1!1s0x4786c7912565cdf7:0x3a14ed6389b46858,,
Slow Sud,"really cute vibes, it even has a swing, solid pasta",https://www.google.com/maps/place/Slow+Sud/data=!4m2!3m1!1s0x4786c6ac81b67cbd:0x81361c1469637031,,
Ai Balestrari sul Naviglio Pavese,"chill classic vibes, good pasta",https://www.google.com/maps/place/Ai+Balestrari+sul+Naviglio+Pavese/data=!4m2!3m1!1s0x4786c3f86a91de99:0xe9775494f953557d,,
Social pizza,"in the center of duomo, has everything but nothing stood out",https://www.google.com/maps/place/Social+pizza/data=!4m2!3m1!1s0x4786c7da3f207435:0x8df72bf0ad1d1fd8,,
SANCEN RISTORANTE CINESE (SHANCHENG) 山城小灶,"very authentic chinese food, chill vibes, low prices",https://www.google.com/maps/place/SANCEN+RISTORANTE+CINESE+(SHANCHENG)+%E5%B1%B1%E5%9F%8E%E5%B0%8F%E7%81%B6/data=!4m2!3m1!1s0x4786c35d0b29c56d:0x2cf23af7765c5d22,,
Niuda Ramen a Mano,pretty authentic chinese noodle place,https://www.google.com/maps/place/Niuda+Ramen+a+Mano/data=!4m2!3m1!1s0x4786c5d090d29c45:0xc23abe9b4f5165fd,,
Come 'Na Vorta - Pasta e Vino Milano,"really really good tiramisu, nice cute vibes for lunch and dinner",https://www.google.com/maps/place/Come+'Na+Vorta+-+Pasta+e+Vino+Milano/data=!4m2!3m1!1s0x4786c1710fcfc85b:0x6f1b879c7050eafc,,
Obicà Mozzarella Bar - Duomo,"roof top vibes, good for dates and with friends",https://www.google.com/maps/place/Obic%C3%A0+Mozzarella+Bar+-+Duomo/data=!4m2!3m1!1s0x4786c6ae5a3e7849:0xa30fbdae035047db,,
Piz,"casual lunch spot, really good pizza in duomo",https://www.google.com/maps/place/Piz/data=!4m2!3m1!1s0x4786c6ab76836fdd:0x16966d59fc5a5e6,,
NOWHERE - CAFE,"american brunch, super super good fod, cute friends brunch vibe",https://www.google.com/maps/place/NOWHERE+-+CAFE/data=!4m2!3m1!1s0x4786c13a98f1f84f:0x34abfcd4ea130bf8,,
Casa Sorbillo Duomo,"chill vibes, super good pizza (pretty cheap), really big portions",https://www.google.com/maps/place/Casa+Sorbillo+Duomo/data=!4m2!3m1!1s0x4786c7b15c0e8ddb:0x4655e44ff3d8fa,,
Sapori Solari - La Bisteccheria,"really good steak, date vibes",https://www.google.com/maps/place/Sapori+Solari+-+La+Bisteccheria/data=!4m2!3m1!1s0x4786c55d4a53b115:0x1a1ef8887329314b,,
Da Vittorio Café Louis Vuitton,"the desserts are really good, perfect for afternoon tea",https://www.google.com/maps/place/Da+Vittorio+Caf%C3%A9+Louis+Vuitton/data=!4m2!3m1!1s0x4786c756bee2d17f:0x8a23402331e43518,,
Trattoria Il Cormorano,,https://www.google.com/maps/place/Trattoria+Il+Cormorano/data=!4m2!3m1!1s0x4786c12c54d35829:0x37a3dfe1ff61899c,,
Pho Yummy越厨,best pho i had in milan,https://www.google.com/maps/place/Pho+Yummy%E8%B6%8A%E5%8E%A8/data=!4m2!3m1!1s0x4786c10076961215:0x66416f2557fc88cf,,
Gloria Osteria Milano,"went here for my friends birthday, super cute and vibey, really really good food, especially the beef wellington.",https://www.google.com/maps/place/Gloria+Osteria+Milano/data=!4m2!3m1!1s0x4786c14aa2b94cd5:0x9f776b64b73dbc06,,
La Magolfa - Navigli,"Cute classic Italian restaurant vibes, very cheap",https://www.google.com/maps/place/La+Magolfa+-+Navigli/data=!4m2!3m1!1s0x4786c3f9da3fcb73:0x2680abefae24ec15,,
SISU.,"One of my favorite study places, super cute vibes and great WiFi",https://www.google.com/maps/place/SISU./data=!4m2!3m1!1s0x4786c3001d0ddfaf:0x976a960a28d42aa1,,
SIYUAN - China Lanzhou Beef Noodles,,https://www.google.com/maps/place/SIYUAN+-+China+Lanzhou+Beef+Noodles/data=!4m2!3m1!1s0x4786c7a73bbbb0db:0x7d9e4889b4de3507,,
Crazy Pizza Milan,"A perfect date night vibe, club music, and dough spinning show",https://www.google.com/maps/place/Crazy+Pizza+Milan/data=!4m2!3m1!1s0x4786c19b00ca6787:0x7fe1af94931cd829,,
Principe Bar,Sioer cute vibes,https://www.google.com/maps/place/Principe+Bar/data=!4m2!3m1!1s0x4786c729ac489235:0x116423d60808f62b,,
ALDENTE Pastabar - Cordusio,Favorite pasta takeout place,https://www.google.com/maps/place/ALDENTE+Pastabar+-+Cordusio/data=!4m2!3m1!1s0x4786c6ad5c826607:0x82799143dc145790,,
Dal Milanese,"The vibe is like a bar in the states but way more fancy and good vibes, loved the food",https://www.google.com/maps/place/Dal+Milanese/data=!4m2!3m1!1s0x4786c7a27b772493:0xdb7971c002b5eaa2,,
Yangguofu,The best malatang in Milan,https://www.google.com/maps/place/Yangguofu/data=!4m2!3m1!1s0x4786c1003d0636bb:0xa1d4d560bc6eb3b8,,
Shoo Loong Kan Hotpot Milano,Best hotpot in Milan,https://www.google.com/maps/place/Shoo+Loong+Kan+Hotpot+Milano/data=!4m2!3m1!1s0x4786c1b150055e4f:0xd6743937420873d6,,
La Gioia San Marco,"One of my favorites in Milan, they have the cheese wheel, I would say it’s the most vibey place in Milan for a date or with friends",https://www.google.com/maps/place/La+Gioia+San+Marco/data=!4m2!3m1!1s0x4786c72cfe0dd087:0x8c9994bf66dafda5,,
Osteria Afrodite,"Perfect for date night, one of my favorites in Milan ",https://www.google.com/maps/place/Osteria+Afrodite/data=!4m2!3m1!1s0x4786c745d3b602a9:0x3695b50242d570cb,,
Osteria Da Fortunata - Brera,"Loveeee this place, super cute restaurant and really good pasta, very famous on TikTok too I would say it lived up to the hype",https://www.google.com/maps/place/Osteria+Da+Fortunata+-+Brera/data=!4m2!3m1!1s0x4786c1366226f28b:0xfce2a76a855b45f0,,
Maccheroni - La Carbonara N°1 di Milano,"So called best carbonara in Milan, really good but I wouldn’t say it’s #1, they have extremely good meatballs tho",https://www.google.com/maps/place/Maccheroni+-+La+Carbonara+N%C2%B01+di+Milano/data=!4m2!3m1!1s0x4786c1c388779717:0xd5eeab5ca1838208,,
Ristorante Dry Aged,"Date night place, the steak was slightly bland",https://www.google.com/maps/place/Ristorante+Dry+Aged/data=!4m2!3m1!1s0x4786c3fc31429f57:0xf983424680e20bfa,,
Lu&Leo,"My favorite family owned pasta place, store is pretty small and it’s next to bocconi",https://www.google.com/maps/place/Lu%26Leo/data=!4m2!3m1!1s0x4786c510c95f127d:0x2d8b134918a0e0e3,,
La Prosciutteria Milano Navigli,"The portion is big and I love the vibes, good for a before/after dinner type snacks",https://www.google.com/maps/place/La+Prosciutteria+Milano+Navigli/data=!4m2!3m1!1s0x4786c3fa3e18ab87:0xecb6f8bf45bb4b64,,
Casanori,"Date vibe, decently priced and the handroll was pretty good",https://www.google.com/maps/place/Casanori/data=!4m2!3m1!1s0x4786c19b67c609a5:0x95e5ae4d80500b82,,
Hekfanchai,Good takeout and changfen,https://www.google.com/maps/place/Hekfanchai/data=!4m2!3m1!1s0x4786c1031f8a96a7:0x6869b7f82cae233e,,
Atelier Prato,"Super cute vibes, perfect brunch place, no laptops until 3pm tho for studying",https://www.google.com/maps/place/Atelier+Prato/data=!4m2!3m1!1s0x4786c120b2ea3f65:0x7d260df37be6222,,
