i will come back and try them next

Title,Note,URL,Tags,Comment
,,,,
Speciale Osteria,cute italian dinner,https://www.google.com/maps/place/Speciale+Osteria/data=!4m2!3m1!1s0x4786c1be569deb7f:0xd40b82a027675fb,,
Sogni Milano,fancy dinner,https://www.google.com/maps/place/Sogni+Milano/data=!4m2!3m1!1s0x4786c3a2090c83ad:0xe893ed4fa95db54e,,
Beefbar Milano,"date, when you're hungry",https://www.google.com/maps/place/Beefbar+Milano/data=!4m2!3m1!1s0x4786c7147c9a14cf:0x29bf3813a6bd8fc3,,
Blitz,sexy vibes,https://www.google.com/maps/place/Blitz/data=!4m2!3m1!1s0x4786c13cd9daa42b:0x35ba280fdd6f4b4d,,
Le Specialità,apparently best pizza,https://www.google.com/maps/place/Le+Specialit%C3%A0/data=!4m2!3m1!1s0x4786c6991142c56b:0x1490a96b643ed48d,,
The Wilde,bar,https://www.google.com/maps/place/The+Wilde/data=!4m2!3m1!1s0x4786c6b6b20f4c25:0x255b60c74e0e2170,,
Casa Cipriani Milano,fancy hotel dinner,https://www.google.com/maps/place/Casa+Cipriani+Milano/data=!4m2!3m1!1s0x4786c791ca2894db:0x12e7f70432de4514,,
Il Baretto Milano,"intimate, good for date",https://www.google.com/maps/place/Il+Baretto+Milano/data=!4m2!3m1!1s0x4786c7e2399347b7:0x8e4cd481466b951c,,
Casa Fiori Chiari Milano,classic italian dinner,https://www.google.com/maps/place/Casa+Fiori+Chiari+Milano/data=!4m2!3m1!1s0x4786c721c02b16df:0x10c24b412b851a59,,
Dal Bolognese Milano,fancy pasta,https://www.google.com/maps/place/Dal+Bolognese+Milano/data=!4m2!3m1!1s0x4786c6c91f9c6945:0xe01b8de948b8c09b,,
Langosteria Bistrot,nice seafood,https://www.google.com/maps/place/Langosteria+Bistrot/data=!4m2!3m1!1s0x4786c3fc8e2be75f:0x749b8b0f7a077341,,
Nobu Milano,fine dining,https://www.google.com/maps/place/Nobu+Milano/data=!4m2!3m1!1s0x4786c6b140f4a57b:0xa9ba087c82040038,,
Palazzo Cordusio Gran Meliá - The Leading Hotels of the World,"fancy, for pics",https://www.google.com/maps/place/Palazzo+Cordusio+Gran+Meli%C3%A1+-+The+Leading+Hotels+of+the+World/data=!4m2!3m1!1s0x4786c7e7b04acb77:0xf1858b2542063f89,,
Anche - La Cotoletta Sbagliata,casual dinner,https://www.google.com/maps/place/Anche+-+La+Cotoletta+Sbagliata/data=!4m2!3m1!1s0x4786c13279136543:0xf20bc3c74e67649e,,
Domò Sushi Milano,"fancy sushi, date vibes",https://www.google.com/maps/place/Dom%C3%B2+Sushi+Milano/data=!4m2!3m1!1s0x4786c7c11b0b50d9:0x3d804b704478126b,,
Giacomo Rosticceria,classic italian dinner,https://www.google.com/maps/place/Giacomo+Rosticceria/data=!4m2!3m1!1s0x4786c69829ad0001:0xf43baa693a33ca6d,,
Ralph's Bar,cute bar/dinner,https://www.google.com/maps/place/Ralph's+Bar/data=!4m2!3m1!1s0x4786c764dd075675:0x2386b3fb9562aa68,,
DG Martini ®,fancy bar,https://www.google.com/maps/place/DG+Martini+%C2%AE/data=!4m2!3m1!1s0x4786c6bac3c1a849:0x441472768d7bcc7,,
Bauscia,nice italian dinner,https://www.google.com/maps/place/Bauscia/data=!4m2!3m1!1s0x4786c6b2f13faaf3:0x15a0ee98a8b230e3,,
Yifan sushi 2,fancy sushi date,https://www.google.com/maps/place/Yifan+sushi+2/data=!4m2!3m1!1s0x4786c7709611abd3:0xa7b25c896b3fd2bb,,
Belle Donne Bistrot,nice dinner date/friends date,https://www.google.com/maps/place/Belle+Donne+Bistrot/data=!4m2!3m1!1s0x4786c3e4e2d07c27:0x7f5f48c976dc2c53,,
El Carnicero,cute bar dat vibes,https://www.google.com/maps/place/El+Carnicero/data=!4m2!3m1!1s0x4786c135093af3bd:0x82e0ddc01613d55e,,
Osteria Serafina,classic italian place to go with friends,https://www.google.com/maps/place/Osteria+Serafina/data=!4m2!3m1!1s0x4786c1fc3bdebf6d:0x805cad22022645db,,
Yapa,fancy dinner date,https://www.google.com/maps/place/Yapa/data=!4m2!3m1!1s0x4786c53d2ae13ebd:0x6103c7426cce1d3b,,
Dhole Milano,looks good for a friends lunch or dinner,https://www.google.com/maps/place/Dhole+Milano/data=!4m2!3m1!1s0x4786c5a1b6380abf:0xc3ea7983f0d9aae0,,
