Title,Note,URL,Tags,Comment
,,,,
NUBIANI - Koreatown,REALLY GOOD KBBQ,https://www.google.com/maps/place/NUBIANI+-+Koreatown/data=!4m2!3m1!1s0x89c2596ca1d4ed5b:0xda65d8979ab658ae,,
Double Chicken Please,"make sure to reserve ahead, really good vibes",https://www.google.com/maps/place/Double+Chicken+Please/data=!4m2!3m1!1s0x89c2594f17616e23:0xfe458d735da2699e,,
KENKA,"cheap eats, interesting vibe",https://www.google.com/maps/place/KENKA/data=!4m2!3m1!1s0x89c2599c7be31789:0x10beb13b71abee3,,
Chef Papa Vietnamese Kitchen LIC,good pho,https://www.google.com/maps/place/Chef+Papa+Vietnamese+Kitchen+LIC/data=!4m2!3m1!1s0x89c2590021b75d93:0xb6e0a90af4ab82b3,,
Ahui BBQ 阿辉烧烤,fav foodtruck for late night cravings,https://www.google.com/maps/place/Ahui+BBQ+%E9%98%BF%E8%BE%89%E7%83%A7%E7%83%A4/data=!4m2!3m1!1s0x89c257b367efcc25:0x6d455709295f5f85,,
BCD Tofu House,classic,https://www.google.com/maps/place/BCD+Tofu+House/data=!4m2!3m1!1s0x89c259a8fb73f6dd:0xf6e5befab6a237be,,
Rule of Thirds,immaculate vibe (perfect brunch place) in williamsburg,https://www.google.com/maps/place/Rule+of+Thirds/data=!4m2!3m1!1s0x89c259e462570469:0x368b01c9e40d301e,,
Blue Ribbon Sushi,"high quality sushi, slightly expensive",https://www.google.com/maps/place/Blue+Ribbon+Sushi/data=!4m2!3m1!1s0x89c2598db6bbba4b:0xc16017f0b775b359,,
Asian Jewels,"authentic, good with family",https://www.google.com/maps/place/Asian+Jewels/data=!4m2!3m1!1s0x89c2600e8936acd9:0x7186588fb0262c0e,,
Il Corallo Trattoria,casual italian,https://www.google.com/maps/place/Il+Corallo+Trattoria/data=!4m2!3m1!1s0x89c2598dc87ebe67:0xa8be79b5c1769f3,,
Jing Li,has everything,https://www.google.com/maps/place/Jing+Li/data=!4m2!3m1!1s0x89c25910b32dd4e5:0x51cc87165359176c,,
Ye's Apothecary 夜莺,nice chinese food,https://www.google.com/maps/place/Ye's+Apothecary+%E5%A4%9C%E8%8E%BA/data=!4m2!3m1!1s0x89c2598cc6f4f1d7:0xa99e4cae31242689,,
The Horny Ram,casual brunch bar vibes,https://www.google.com/maps/place/The+Horny+Ram/data=!4m2!3m1!1s0x89c258e2ff18a1bd:0xd92364c2b1f8cc7c,,
Xie Bao 蟹宝 Manhattan,"loved the food, casual eats",https://www.google.com/maps/place/Xie+Bao+%E8%9F%B9%E5%AE%9D+Manhattan/data=!4m2!3m1!1s0x89c25900533f308d:0x955c81afe0a5c325,,
Yakitori Taisho,good casual eats,https://www.google.com/maps/place/Yakitori+Taisho/data=!4m2!3m1!1s0x89c2599b8f3316a5:0x89833725e7e0c653,,
Juliette Restaurant,cute brunch,https://www.google.com/maps/place/Juliette+Restaurant/data=!4m2!3m1!1s0x89c2595e0728369b:0xf93399bc8f043b3a,,
Taku Sando,really good japanese sandwhich place in brooklyn,https://www.google.com/maps/place/Taku+Sando/data=!4m2!3m1!1s0x89c2592157219bf1:0x615a9fd98c4b01a9,,
Nón Lá,"really good pho, casual eats",https://www.google.com/maps/place/N%C3%B3n+L%C3%A1/data=!4m2!3m1!1s0x89c25983ca625c09:0x1b0a19e8f1ab84c0,,
TORA NYC,cute dinner,https://www.google.com/maps/place/TORA+NYC/data=!4m2!3m1!1s0x89c25d0014d2d6df:0x1e99818db74790d3,,
Aliada,super cute date spot,https://www.google.com/maps/place/Aliada/data=!4m2!3m1!1s0x89c25f373bd01571:0x69ddbf5ef005e30b,,
Saigon Shack,casual pho,https://www.google.com/maps/place/Saigon+Shack/data=!4m2!3m1!1s0x89c25992279cb0a7:0x47c6705638de9109,,
