restaurant_id,public_rating,public_review_count,price_tier,source,public_review_snippets_json,public_vibe,public_vibe_updated_at,public_vibe_source,public_vibe_model
milan_ai_balestrari_sul_naviglio_pavese,4.3,3339,2,google_maps,"[""Ai Balestrari sul Naviglio Pavese is a great spot for delicious, authentic Italian food. Portions are big and satisfying, and the staff are warm and friendly. It gets busy at lunchtime, but the food is absolutely worth it. A cozy, tasty..."", ""Fantastic place! What a wonderful atmosphere, great dishes and absolutely perfect service. The best pasta in my life. Salads were unforgettable. House wine was great! I will definitely come back to Milano to be back to this absolutely..."", ""We come here every time we are in Milan! Although it\u2019s typical Roman style, you can never go wrong with a hearty lunch here. Food is always incredible and service is quick! Love this place every time just be sure to book in advance!"", ""The place was amazing and the atmosphere felt really cozy. The service was great as well and the waiters were pleasant to talk to. We tried their carbonara for which they are known for and I can see why now. We also had their roman..."", ""Very cozy inside, air conditioning cools well, amazing food - carbonara is the best of all Milan!!!! I wanna eat one more time when I back to Milan. Good drinks, good prices. Staff is very good.""]",Known for excellent pasta with friendly service.,2026-01-03T23:03:39.080981,fallback,
milan_aldente_pastabar_cordusio,3.7,1159,2,google_maps,"[""Great place. I dont understand why the rating isnt higher. I wanted to have pasta with pesto, but they were out of pesto, so they suggested to get ravioli with cheese and spinach inside. And it was so good! I also had a pistacchio..."", ""The food is adequate to the price, cheap and quick pasta, good drink"", ""Honestly, I'm sorry to say this was the worst pasta I've ever tasted in my life. The ravioli as well - completely lacking in flavor and the portion was extremely small. was very disappointed. The staff was kind and the place itself is..."", ""1/5 stars The food looked alright but it wasn\u2019t good. We took the menu maxi, totally wasted money, small portions, cheap ingredients. Only the good thing about it was a beer. The service was also bad. Waitress were not polite. When one of..."", ""We tried breakfast here and it was good. They offer baked goods and pancakes for breakfast, so we ordered the combo 5/5: toast with eggs and bacon , orange juice and cappuccino Pancakes with Nutella 5/5: kids loved it Pancakes with bacon...""]",Known for excellent pasta.,2026-01-03T23:03:06.618080,fallback,
milan_allantico_vinaio,4.5,6711,1,google_maps,"[""Extremely friendly staff! My sandwich was good, not amazing, perhaps there are much better flavours. I ordered the \u2018number 1\u2019 It is super expensive, however is massive"", ""If you are in love with Italian tastes you will definitely enjoy these huge and fresh sandwiches. Im not really a fan of smelly cheese but in my special festive sandwich the mix of taste was so good that first time in my life I\u2019ve liked..."", ""Absolutely amazing experience! Very tasty (and very big) sandwiches, we took \u201cvegetarian 2\u201d, the bread is fresh and crispy, it tastes really good\u2026 We kindly asked this one chef if it was possible for him to make our sandwiches aside,..."", ""The sandwiches were absolutely delicious! We visited twice, and both times they were fantastic. Fresh ingredients, authentic Italian flavors, and perfectly balanced combinations. The staff were super friendly and helpful in choosing the..."", ""Good place for takeaway a sandwich with good products. Our recomendation: Viola and pardiso sandwiches Note: There will be a queue of at least 10.to.20 mins, even they are quick and organize, they are popular. There is not sitting space,...""]",Known for quality food with attentive service.,2026-01-03T23:03:42.800043,fallback,
milan_anche_la_cotoletta_sbagliata,4.1,2236,2,google_maps,"[""Very expensive, but very filling. A bit more oily than I would like it. I suggest the Cotoletta with cheese and zucchini. \""Mini\"" size is more than enough, so \""Super Mini\"" is a normal portion. It was busy on Sunday, so you might not find a..."", ""The pork cutlets are done in a non-traditional way but the quality is quite good. I had the prosciutto and formaggio cutlet and it was quite tasty."", ""The pork cutlet was delicious and way more food than I could eat. The homemade potato chips were amazing. The staff was super nice and spoke English"", ""They are famous for the wrong !! My first Milanese cutlet is a piece of ginormous breaded and deep fried to perfection crispy pork chop (instead of the classic veal) !! And luckily theres always a little room for dessert in the end,..."", ""At Anche in Milan, the cotoletta is impressively large, with a generous portion that satisfies big appetites. The quality is excellent, with a crispy, flavorful crust that complements the tender meat. The restaurant has a nice atmosphere...""]",Known for quality food can get busy.,2026-01-03T23:04:00.604708,fallback,
milan_atelier_prato,4.4,286,,google_maps,"[""We tried to have a brunch here for 3 times and finally did it (after 50 mins!!! of waiting for a table). The food and drinks were nice but nothing special. Kinda overpriced but since there\u2019re only a few places with brunch in Milan it\u2019s..."", ""Perfect place to sit, get some brunch, and work for a couple hours! Super strong wifi, great music and the staff were really great. I was there for a few hours and felt really welcome. The matcha latte and blueberry matcha are insane, and..."", ""What a delightful find: This coffee shop offers an impressive variety of beverages and Croissants and other Pastries, all prepared with an elegant touch and tasting genuinely superb. The gentle service makes the experience even more..."", ""Atelier Prato is an absolute gem in Milano. From the moment I walked in, the staff made me feel so welcome\u2014warm, friendly, and genuinely kind. I even had the pleasure of meeting the owner, who was incredibly sweet and gracious, which..."", ""It was worth waiting 30 minutes in the queue on a Sunday morning. We came at 11.30 and there was a queue for around half an hour as they don\u2019t book the table. But it was worth the wait. Our food was very good, quality-quantity-price wise...""]",Known for quality food with friendly service.,2026-01-03T23:03:10.339997,fallback,
milan_bauscia,4.4,1468,2,google_maps,"[""It can get a bit noisy because of the intimate setting so you end up hearing the conversation of pretty much all the tables around you. But the food was great, so fresh and spot on. Service was really good, the waiter served us knows the..."", ""It is real best experience over the world very soft stake on the top risotto Heaven's tested i am going to definitely here again"", ""Bauscia is a truly exceptional restaurant located in one of Milan\u2019s most desirable areas. Its prime location makes it an ideal spot for both locals and visitors looking to enjoy an authentic dining experience in the city. One of the..."", ""May 2024 Our hotel recommended this charming place for delicious food in the Brera district, which is lovely at night. The restaurant has a nice outdoor dining area. The service was attentive and very kind. The food and wine were..."", ""Truly 5/5 experience. The food was incredible and very tasty. I highly recommend the Milanese. The service was incredible, fast and snappy. Bread was brought out as soon as we sat down. The table olive oil was high quality and very tasty....""]",Known for quality food with attentive service.,2026-01-03T23:04:04.228834,fallback,
milan_beefbar_milano,4.4,802,,google_maps,"[""Absolutely loved our experience at Beefbar Milano. Incredible food, beautiful ambience, and top-notch service. A place we\u2019ll definitely return to."", ""Beautiful restaurant amazing design and food. Our 8 year old son was delighted with his beef steak."", ""This was my third solo visit to Beefbar Milan, and it was honestly the best one yet. The place always has this cool, welcoming vibe that makes dining alone feel completely natural. I started with the tacos, which were fresh and packed with..."", ""Food was honestly really good, but the service was so bad! Had to ask for olive oil and balsamic for 6 times. And server was so rude. But if you\u2019re looking for good steak in Milan, here\u2019s a place to try. Don\u2019t order the tiramisu though...."", ""One of the best meet places I have been to. Ate the 300 gr fillet medium it was really soft and really great. Dessert: most have the chocolates souffl\u00e9 they open it up and drop a scope of mango ice cream - WOW .""]",Known for excellent steaks.,2026-01-03T23:04:07.830900,fallback,
milan_belle_donne_bistrot,4.5,1895,2,google_maps,"[""Chrismas evening : Dishes were very tasty ! However, service could be a bit friendlier. Musics were very great too !"", ""We loved this place! So much that we ate here two nights in a row. The first night, a Saturday, we thought we had booked but realised we had the wrong restaurant. They were booked up but managed to get us a table. The waiter was so..."", ""Amazing food, you should taste the carpaccio with black truffle first. And all meats are wonderful, you should keep the suggestions from the waiters. We met with Oscar, and we will always visit for the dinner in Milano."", ""I\u2019m a foodie and my hotel recommended this restaurant. It was the highlight of our trip to Italy. Every dish is fresh and made with integrity and quality."", ""The place is truly amazing \u2014 we had such a wonderful time! We enjoyed small talks, delicious food, and the warm, friendly, and helpful staff. It was a great find, and I\u2019m happy to say the pasta is authentically Italian. Absolutely loved it!""]",Known for excellent pasta with attentive service.,2026-01-03T23:04:11.279777,fallback,
milan_blitz,4.5,624,2,google_maps,"[""We were told to wait 20-30 minutes for a table. After 45 minutes a group which came a few minutes after us with no reservation as well, were asked to the first available table before us. After asking for an explanation the server told us..."", ""Tasty, good atmosphere, no menu, the waiter knows basic English too and it\u2019s very cool and something new - The wine and food are delicious, not expensive,"", ""An hidden gem in Milan, one of my favorite places with incredible atmosphere and service - many compliments to Antonello and the all team"", ""Really nice place to sit down for a lovely dinner. The waiter is very nice and the service was good. I also liked the food a lot. The pizza and meetballs starters are delicious. The artichoke salad is also tasty. The crispy Milanese and..."", ""Ate one of the best swordfish I ever had! The restaurant is a really traditional place and is packed so you have to make a reservation. There is no menu, so the owner of the restaurant will tell you all their dishes out of his head, which...""]",Known for great pizza.,2026-01-03T23:04:14.858348,fallback,
milan_casa_cipriani_milano,4.4,223,,google_maps,"[""The signature hydrafacial at Casa Cipriani Spa is my go-to facial in Milan. Gentle, deeply cleansing and incredibly hydrating, it leaves my skin glowing every time. Easily one of the best spa treatments in the city."", ""Exclusive, luxurious, and private. Very stylish interiors and bedrooms in classic Cipriani style. The gorgeous bar and restaurant/terrace are exclusively for hotel guests and club members. No photos allowed and a general dress code..."", ""I simply came for one thing: the vanilla meringue. And yet\u2026 it became so much more than dessert. The moment I entered, I felt the atmosphere wrap around me like silk warm wood, low light, a sense of timeless calm. It was quiet but alive,..."", ""The rooms are beautifully designed\u2014spacious, elegant, and filled with thoughtful details that create a warm, luxurious atmosphere. The spa was a true highlight: serene, beautifully appointed, and perfect for unwinding after exploring the..."", ""The real letdown, every single time, has been the clientele. Despite the venue\u2019s upscale ambitions, the atmosphere is often tainted by questionable men and overly flashy women. There\u2019s a distinct lack of understatement or genuine elegance...""]",Known for quality food.,2026-01-03T23:04:18.415103,fallback,
