restaurant_id,name,city,neighborhood,status,your_note,google_maps_url,source,price_tier,public_rating,public_review_count,cuisine
milan_allantico_vinaio,All'Antico Vinaio,Milan,,tried,"super cute chill drink vibes, good food",https://www.google.com/maps/place/All'Antico+Vinaio/data=!4m2!3m1!1s0x4786c7912565cdf7:0x3a14ed6389b46858,google_maps,,,,
milan_slow_sud,Slow Sud,Milan,,tried,"really cute vibes, it even has a swing, solid pasta",https://www.google.com/maps/place/Slow+Sud/data=!4m2!3m1!1s0x4786c6ac81b67cbd:0x81361c1469637031,google_maps,,,,
milan_ai_balestrari_sul_naviglio_pavese,Ai Balestrari sul Naviglio Pavese,Milan,,tried,"chill classic vibes, good pasta",https://www.google.com/maps/place/Ai+Balestrari+sul+Naviglio+Pavese/data=!4m2!3m1!1s0x4786c3f86a91de99:0xe9775494f953557d,google_maps,,,,
milan_social_pizza,Social pizza,Milan,,tried,"in the center of duomo, has everything but nothing stood out",https://www.google.com/maps/place/Social+pizza/data=!4m2!3m1!1s0x4786c7da3f207435:0x8df72bf0ad1d1fd8,google_maps,,,,
milan_sancen_ristorante_cinese_shancheng_山城小灶,SANCEN RISTORANTE CINESE (SHANCHENG) 山城小灶,Milan,,tried,"very authentic chinese food, chill vibes, low prices",https://www.google.com/maps/place/SANCEN+RISTORANTE+CINESE+(SHANCHENG)+%E5%B1%B1%E5%9F%8E%E5%B0%8F%E7%81%B6/data=!4m2!3m1!1s0x4786c35d0b29c56d:0x2cf23af7765c5d22,google_maps,,,,
milan_niuda_ramen_a_mano,Niuda Ramen a Mano,Milan,,tried,pretty authentic chinese noodle place,https://www.google.com/maps/place/Niuda+Ramen+a+Mano/data=!4m2!3m1!1s0x4786c5d090d29c45:0xc23abe9b4f5165fd,google_maps,,,,
milan_come_na_vorta_pasta_e_vino_milano,Come 'Na Vorta - Pasta e Vino Milano,Milan,,tried,"really really good tiramisu, nice cute vibes for lunch and dinner",https://www.google.com/maps/place/Come+'Na+Vorta+-+Pasta+e+Vino+Milano/data=!4m2!3m1!1s0x4786c1710fcfc85b:0x6f1b879c7050eafc,google_maps,,,,
milan_obicà_mozzarella_bar_duomo,Obicà Mozzarella Bar - Duomo,Milan,,tried,"roof top vibes, good for dates and with friends",https://www.google.com/maps/place/Obic%C3%A0+Mozzarella+Bar+-+Duomo/data=!4m2!3m1!1s0x4786c6ae5a3e7849:0xa30fbdae035047db,google_maps,,,,
milan_piz,Piz,Milan,,tried,"casual lunch spot, really good pizza in duomo",https://www.google.com/maps/place/Piz/data=!4m2!3m1!1s0x4786c6ab76836fdd:0x16966d59fc5a5e6,google_maps,,,,
milan_nowhere_cafe,NOWHERE - CAFE,Milan,,tried,"american brunch, super super good fod, cute friends brunch vibe",https://www.google.com/maps/place/NOWHERE+-+CAFE/data=!4m2!3m1!1s0x4786c13a98f1f84f:0x34abfcd4ea130bf8,google_maps,,,,
milan_casa_sorbillo_duomo,Casa Sorbillo Duomo,Milan,,tried,"chill vibes, super good pizza (pretty cheap), really big portions",https://www.google.com/maps/place/Casa+Sorbillo+Duomo/data=!4m2!3m1!1s0x4786c7b15c0e8ddb:0x4655e44ff3d8fa,google_maps,,,,
milan_sapori_solari_la_bisteccheria,Sapori Solari - La Bisteccheria,Milan,,tried,"really good steak, date vibes",https://www.google.com/maps/place/Sapori+Solari+-+La+Bisteccheria/data=!4m2!3m1!1s0x4786c55d4a53b115:0x1a1ef8887329314b,google_maps,,,,
milan_da_vittorio_café_louis_vuitton,Da Vittorio Café Louis Vuitton,Milan,,tried,"the desserts are really good, perfect for afternoon tea",https://www.google.com/maps/place/Da+Vittorio+Caf%C3%A9+Louis+Vuitton/data=!4m2!3m1!1s0x4786c756bee2d17f:0x8a23402331e43518,google_maps,,,,
